# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: E:\5th_sem\DSD\Processor\processor.csv
# Generated on: Mon Oct 16 09:31:15 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ALUResult[17],Output,PIN_G17,7,B7_N1,PIN_J17,2.5 V,,,,,
ALUResult[16],Output,PIN_J17,7,B7_N2,PIN_H19,2.5 V,,,,,
ALUResult[15],Output,PIN_H19,7,B7_N2,PIN_J19,2.5 V,,,,,
ALUResult[14],Output,PIN_J19,7,B7_N2,PIN_E18,2.5 V,,,,,
ALUResult[13],Output,PIN_E18,7,B7_N1,PIN_F18,2.5 V,,,,,
ALUResult[12],Output,PIN_F18,7,B7_N1,PIN_F21,2.5 V,,,,,
ALUResult[11],Output,PIN_F21,7,B7_N0,PIN_E19,2.5 V,,,,,
ALUResult[10],Output,PIN_E19,7,B7_N0,PIN_F19,2.5 V,,,,,
ALUResult[9],Output,PIN_F19,7,B7_N0,PIN_G19,2.5 V,,,,,
ALUResult[8],Output,PIN_G19,7,B7_N2,PIN_F17,2.5 V,,,,,
ALUResult[7],Output,PIN_G21,7,B7_N1,PIN_G21,2.5 V,,,,,
ALUResult[6],Output,PIN_G22,7,B7_N2,PIN_G22,2.5 V,,,,,
ALUResult[5],Output,PIN_G20,7,B7_N1,PIN_G20,2.5 V,,,,,
ALUResult[4],Output,PIN_H21,7,B7_N2,PIN_H21,2.5 V,,,,,
ALUResult[3],Output,PIN_E24,7,B7_N1,PIN_E24,2.5 V,,,,,
ALUResult[2],Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,
ALUResult[1],Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
ALUResult[0],Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
branch,Output,,,,PIN_D13,,,,,,
clk,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
extractor_out[31],Output,,,,PIN_A10,,,,,,
extractor_out[30],Output,,,,PIN_F14,,,,,,
extractor_out[29],Output,,,,PIN_L25,,,,,,
extractor_out[28],Output,,,,PIN_U24,,,,,,
extractor_out[27],Output,,,,PIN_AG26,,,,,,
extractor_out[26],Output,,,,PIN_A7,,,,,,
extractor_out[25],Output,,,,PIN_C10,,,,,,
extractor_out[24],Output,,,,PIN_J12,,,,,,
extractor_out[23],Output,,,,PIN_AG25,,,,,,
extractor_out[22],Output,,,,PIN_AC21,,,,,,
extractor_out[21],Output,,,,PIN_B21,,,,,,
extractor_out[20],Output,,,,PIN_AB16,,,,,,
extractor_out[19],Output,,,,PIN_AF22,,,,,,
extractor_out[18],Output,,,,PIN_B19,,,,,,
extractor_out[17],Output,,,,PIN_J13,,,,,,
extractor_out[16],Output,,,,PIN_G24,,,,,,
extractor_out[15],Output,,,,PIN_C12,,,,,,
extractor_out[14],Output,,,,PIN_T21,,,,,,
extractor_out[13],Output,,,,PIN_AB22,,,,,,
extractor_out[12],Output,,,,PIN_AE23,,,,,,
extractor_out[11],Output,,,,PIN_Y26,,,,,,
extractor_out[10],Output,,,,PIN_AB27,,,,,,
extractor_out[9],Output,,,,PIN_J22,,,,,,
extractor_out[8],Output,,,,PIN_AC24,,,,,,
extractor_out[7],Output,,,,PIN_C26,,,,,,
extractor_out[6],Output,,,,PIN_AF26,,,,,,
extractor_out[5],Output,,,,PIN_AD18,,,,,,
extractor_out[4],Output,,,,PIN_C22,,,,,,
extractor_out[3],Output,,,,PIN_C18,,,,,,
extractor_out[2],Output,,,,PIN_L2,,,,,,
extractor_out[1],Output,,,,PIN_AB17,,,,,,
extractor_out[0],Output,,,,PIN_A22,,,,,,
instruction[31],Output,,,,PIN_AA12,,,,,,
instruction[30],Output,,,,PIN_B10,,,,,,
instruction[29],Output,,,,PIN_AF14,,,,,,
instruction[28],Output,,,,PIN_AH11,,,,,,
instruction[27],Output,,,,PIN_G8,,,,,,
instruction[26],Output,,,,PIN_F25,,,,,,
instruction[25],Output,,,,PIN_AE4,,,,,,
instruction[24],Output,,,,PIN_V26,,,,,,
instruction[23],Output,,,,PIN_AF19,,,,,,
instruction[22],Output,,,,PIN_M27,,,,,,
instruction[21],Output,,,,PIN_N26,,,,,,
instruction[20],Output,,,,PIN_C15,,,,,,
instruction[19],Output,,,,PIN_C3,,,,,,
instruction[18],Output,,,,PIN_M28,,,,,,
instruction[17],Output,,,,PIN_P27,,,,,,
instruction[16],Output,,,,PIN_N25,,,,,,
instruction[15],Output,,,,PIN_N21,,,,,,
instruction[14],Output,,,,PIN_U27,,,,,,
instruction[13],Output,,,,PIN_V23,,,,,,
instruction[12],Output,,,,PIN_V24,,,,,,
instruction[11],Output,,,,PIN_AF24,,,,,,
instruction[10],Output,,,,PIN_R25,,,,,,
instruction[9],Output,,,,PIN_U28,,,,,,
instruction[8],Output,,,,PIN_U22,,,,,,
instruction[7],Output,,,,PIN_T22,,,,,,
instruction[6],Output,,,,PIN_AA15,,,,,,
instruction[5],Output,,,,PIN_T25,,,,,,
instruction[4],Output,,,,PIN_W22,,,,,,
instruction[3],Output,,,,PIN_Y15,,,,,,
instruction[2],Output,,,,PIN_AG17,,,,,,
instruction[1],Output,,,,PIN_AA21,,,,,,
instruction[0],Output,,,,PIN_AD22,,,,,,
jump,Output,,,,PIN_AB24,,,,,,
mux_out[31],Output,,,,PIN_Y13,,,,,,
mux_out[30],Output,,,,PIN_D16,,,,,,
mux_out[29],Output,,,,PIN_K22,,,,,,
mux_out[28],Output,,,,PIN_D22,,,,,,
mux_out[27],Output,,,,PIN_D20,,,,,,
mux_out[26],Output,,,,PIN_D21,,,,,,
mux_out[25],Output,,,,PIN_AF16,,,,,,
mux_out[24],Output,,,,PIN_AH17,,,,,,
mux_out[23],Output,,,,PIN_AE16,,,,,,
mux_out[22],Output,,,,PIN_J23,,,,,,
mux_out[21],Output,,,,PIN_D17,,,,,,
mux_out[20],Output,,,,PIN_L7,,,,,,
mux_out[19],Output,,,,PIN_D19,,,,,,
mux_out[18],Output,,,,PIN_A21,,,,,,
mux_out[17],Output,,,,PIN_F26,,,,,,
mux_out[16],Output,,,,PIN_E15,,,,,,
mux_out[15],Output,,,,PIN_K8,,,,,,
mux_out[14],Output,,,,PIN_B23,,,,,,
mux_out[13],Output,,,,PIN_E27,,,,,,
mux_out[12],Output,,,,PIN_F24,,,,,,
mux_out[11],Output,,,,PIN_C17,,,,,,
mux_out[10],Output,,,,PIN_AF25,,,,,,
mux_out[9],Output,,,,PIN_C20,,,,,,
mux_out[8],Output,,,,PIN_B11,,,,,,
mux_out[7],Output,,,,PIN_C14,,,,,,
mux_out[6],Output,,,,PIN_AG22,,,,,,
mux_out[5],Output,,,,PIN_J14,,,,,,
mux_out[4],Output,,,,PIN_J26,,,,,,
mux_out[3],Output,,,,PIN_G28,,,,,,
mux_out[2],Output,,,,PIN_C19,,,,,,
mux_out[1],Output,,,,PIN_G27,,,,,,
mux_out[0],Output,,,,PIN_J25,,,,,,
pc_plus_4[7],Output,,,,PIN_AA23,,,,,,
pc_plus_4[6],Output,,,,PIN_G25,,,,,,
pc_plus_4[5],Output,,,,PIN_Y23,,,,,,
pc_plus_4[4],Output,,,,PIN_AC28,,,,,,
pc_plus_4[3],Output,,,,PIN_A11,,,,,,
pc_plus_4[2],Output,,,,PIN_D15,,,,,,
pc_plus_4[1],Output,,,,PIN_V22,,,,,,
pc_plus_4[0],Output,,,,PIN_W21,,,,,,
read_data[31],Output,,,,PIN_G14,,,,,,
read_data[30],Output,,,,PIN_AB18,,,,,,
read_data[29],Output,,,,PIN_AC22,,,,,,
read_data[28],Output,,,,PIN_AH26,,,,,,
read_data[27],Output,,,,PIN_AC27,,,,,,
read_data[26],Output,,,,PIN_AE27,,,,,,
read_data[25],Output,,,,PIN_P1,,,,,,
read_data[24],Output,,,,PIN_AD28,,,,,,
read_data[23],Output,,,,PIN_AG19,,,,,,
read_data[22],Output,,,,PIN_AE17,,,,,,
read_data[21],Output,,,,PIN_G13,,,,,,
read_data[20],Output,,,,PIN_E11,,,,,,
read_data[19],Output,,,,PIN_AA17,,,,,,
read_data[18],Output,,,,PIN_Y16,,,,,,
read_data[17],Output,,,,PIN_H13,,,,,,
read_data[16],Output,,,,PIN_AH21,,,,,,
read_data[15],Output,,,,PIN_C24,,,,,,
read_data[14],Output,,,,PIN_AC26,,,,,,
read_data[13],Output,,,,PIN_AE26,,,,,,
read_data[12],Output,,,,PIN_Y14,,,,,,
read_data[11],Output,,,,PIN_AD21,,,,,,
read_data[10],Output,,,,PIN_AB21,,,,,,
read_data[9],Output,,,,PIN_AA22,,,,,,
read_data[8],Output,,,,PIN_AC19,,,,,,
read_data[7],Output,,,,PIN_AB20,,,,,,
read_data[6],Output,,,,PIN_AE25,,,,,,
read_data[5],Output,,,,PIN_AG18,,,,,,
read_data[4],Output,,,,PIN_AH25,,,,,,
read_data[3],Output,,,,PIN_P2,,,,,,
read_data[2],Output,,,,PIN_H14,,,,,,
read_data[1],Output,,,,PIN_E14,,,,,,
read_data[0],Output,,,,PIN_AE21,,,,,,
reset,Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
rg_rd_data1[31],Output,,,,PIN_K28,,,,,,
rg_rd_data1[30],Output,,,,PIN_L24,,,,,,
rg_rd_data1[29],Output,,,,PIN_M25,,,,,,
rg_rd_data1[28],Output,,,,PIN_A23,,,,,,
rg_rd_data1[27],Output,,,,PIN_G26,,,,,,
rg_rd_data1[26],Output,,,,PIN_D18,,,,,,
rg_rd_data1[25],Output,,,,PIN_M26,,,,,,
rg_rd_data1[24],Output,,,,PIN_L27,,,,,,
rg_rd_data1[23],Output,,,,PIN_D28,,,,,,
rg_rd_data1[22],Output,,,,PIN_E26,,,,,,
rg_rd_data1[21],Output,,,,PIN_E28,,,,,,
rg_rd_data1[20],Output,,,,PIN_C23,,,,,,
rg_rd_data1[19],Output,,,,PIN_AH12,,,,,,
rg_rd_data1[18],Output,,,,PIN_H24,,,,,,
rg_rd_data1[17],Output,,,,PIN_K26,,,,,,
rg_rd_data1[16],Output,,,,PIN_D27,,,,,,
rg_rd_data1[15],Output,,,,PIN_D14,,,,,,
rg_rd_data1[14],Output,,,,PIN_B18,,,,,,
rg_rd_data1[13],Output,,,,PIN_K21,,,,,,
rg_rd_data1[12],Output,,,,PIN_J24,,,,,,
rg_rd_data1[11],Output,,,,PIN_L23,,,,,,
rg_rd_data1[10],Output,,,,PIN_M21,,,,,,
rg_rd_data1[9],Output,,,,PIN_K27,,,,,,
rg_rd_data1[8],Output,,,,PIN_L28,,,,,,
rg_rd_data1[7],Output,,,,PIN_C27,,,,,,
rg_rd_data1[6],Output,,,,PIN_B25,,,,,,
rg_rd_data1[5],Output,,,,PIN_K25,,,,,,
rg_rd_data1[4],Output,,,,PIN_A19,,,,,,
rg_rd_data1[3],Output,,,,PIN_B22,,,,,,
rg_rd_data1[2],Output,,,,PIN_C21,,,,,,
rg_rd_data1[1],Output,,,,PIN_AE15,,,,,,
rg_rd_data1[0],Output,,,,PIN_F27,,,,,,
rg_rd_data2[31],Output,,,,PIN_U26,,,,,,
rg_rd_data2[30],Output,,,,PIN_AD14,,,,,,
rg_rd_data2[29],Output,,,,PIN_AF21,,,,,,
rg_rd_data2[28],Output,,,,PIN_AD27,,,,,,
rg_rd_data2[27],Output,,,,PIN_G11,,,,,,
rg_rd_data2[26],Output,,,,PIN_A12,,,,,,
rg_rd_data2[25],Output,,,,PIN_AD11,,,,,,
rg_rd_data2[24],Output,,,,PIN_D10,,,,,,
rg_rd_data2[23],Output,,,,PIN_AF27,,,,,,
rg_rd_data2[22],Output,,,,PIN_G23,,,,,,
rg_rd_data2[21],Output,,,,PIN_AC25,,,,,,
rg_rd_data2[20],Output,,,,PIN_Y19,,,,,,
rg_rd_data2[19],Output,,,,PIN_AC18,,,,,,
rg_rd_data2[18],Output,,,,PIN_AB25,,,,,,
rg_rd_data2[17],Output,,,,PIN_AE28,,,,,,
rg_rd_data2[16],Output,,,,PIN_AE19,,,,,,
rg_rd_data2[15],Output,,,,PIN_AE20,,,,,,
rg_rd_data2[14],Output,,,,PIN_AD25,,,,,,
rg_rd_data2[13],Output,,,,PIN_B7,,,,,,
rg_rd_data2[12],Output,,,,PIN_G10,,,,,,
rg_rd_data2[11],Output,,,,PIN_Y17,,,,,,
rg_rd_data2[10],Output,,,,PIN_Y24,,,,,,
rg_rd_data2[9],Output,,,,PIN_D11,,,,,,
rg_rd_data2[8],Output,,,,PIN_AB19,,,,,,
rg_rd_data2[7],Output,,,,PIN_AE22,,,,,,
rg_rd_data2[6],Output,,,,PIN_P26,,,,,,
rg_rd_data2[5],Output,,,,PIN_AD26,,,,,,
rg_rd_data2[4],Output,,,,PIN_M8,,,,,,
rg_rd_data2[3],Output,,,,PIN_B26,,,,,,
rg_rd_data2[2],Output,,,,PIN_AC11,,,,,,
rg_rd_data2[1],Output,,,,PIN_D23,,,,,,
rg_rd_data2[0],Output,,,,PIN_AF20,,,,,,
store_extractor[31],Output,,,,PIN_AF18,,,,,,
store_extractor[30],Output,,,,PIN_AH22,,,,,,
store_extractor[29],Output,,,,PIN_V21,,,,,,
store_extractor[28],Output,,,,PIN_D12,,,,,,
store_extractor[27],Output,,,,PIN_AG23,,,,,,
store_extractor[26],Output,,,,PIN_W27,,,,,,
store_extractor[25],Output,,,,PIN_AB15,,,,,,
store_extractor[24],Output,,,,PIN_V27,,,,,,
store_extractor[23],Output,,,,PIN_Y25,,,,,,
store_extractor[22],Output,,,,PIN_AH18,,,,,,
store_extractor[21],Output,,,,PIN_AD19,,,,,,
store_extractor[20],Output,,,,PIN_C13,,,,,,
store_extractor[19],Output,,,,PIN_AA25,,,,,,
store_extractor[18],Output,,,,PIN_V28,,,,,,
store_extractor[17],Output,,,,PIN_AB26,,,,,,
store_extractor[16],Output,,,,PIN_A18,,,,,,
store_extractor[15],Output,,,,PIN_W28,,,,,,
store_extractor[14],Output,,,,PIN_W26,,,,,,
store_extractor[13],Output,,,,PIN_B17,,,,,,
store_extractor[12],Output,,,,PIN_U23,,,,,,
store_extractor[11],Output,,,,PIN_AH23,,,,,,
store_extractor[10],Output,,,,PIN_C16,,,,,,
store_extractor[9],Output,,,,PIN_AD17,,,,,,
store_extractor[8],Output,,,,PIN_AE18,,,,,,
store_extractor[7],Output,,,,PIN_E17,,,,,,
store_extractor[6],Output,,,,PIN_AC17,,,,,,
store_extractor[5],Output,,,,PIN_W25,,,,,,
store_extractor[4],Output,,,,PIN_AG21,,,,,,
store_extractor[3],Output,,,,PIN_AF17,,,,,,
store_extractor[2],Output,,,,PIN_V25,,,,,,
store_extractor[1],Output,,,,PIN_AH19,,,,,,
store_extractor[0],Output,,,,PIN_A17,,,,,,
write_data[31],Output,,,,PIN_A25,,,,,,
write_data[30],Output,,,,PIN_AC15,,,,,,
write_data[29],Output,,,,PIN_H22,,,,,,
write_data[28],Output,,,,PIN_A26,,,,,,
write_data[27],Output,,,,PIN_AF23,,,,,,
write_data[26],Output,,,,PIN_F22,,,,,,
write_data[25],Output,,,,PIN_AB23,,,,,,
write_data[24],Output,,,,PIN_L22,,,,,,
write_data[23],Output,,,,PIN_AE24,,,,,,
write_data[22],Output,,,,PIN_AD24,,,,,,
write_data[21],Output,,,,PIN_C25,,,,,,
write_data[20],Output,,,,PIN_D25,,,,,,
write_data[19],Output,,,,PIN_H23,,,,,,
write_data[18],Output,,,,PIN_AA24,,,,,,
write_data[17],Output,,,,PIN_P25,,,,,,
write_data[16],Output,,,,PIN_D26,,,,,,
write_data[15],Output,,,,PIN_R26,,,,,,
write_data[14],Output,,,,PIN_R24,,,,,,
write_data[13],Output,,,,PIN_R21,,,,,,
write_data[12],Output,,,,PIN_R27,,,,,,
write_data[11],Output,,,,PIN_T26,,,,,,
write_data[10],Output,,,,PIN_R23,,,,,,
write_data[9],Output,,,,PIN_R22,,,,,,
write_data[8],Output,,,,PIN_U25,,,,,,
write_data[7],Output,,,,PIN_M24,,,,,,
write_data[6],Output,,,,PIN_P21,,,,,,
write_data[5],Output,,,,PIN_L21,,,,,,
write_data[4],Output,,,,PIN_H26,,,,,,
write_data[3],Output,,,,PIN_D24,,,,,,
write_data[2],Output,,,,PIN_H25,,,,,,
write_data[1],Output,,,,PIN_F28,,,,,,
write_data[0],Output,,,,PIN_R28,,,,,,
zero,Output,,,,PIN_L26,,,,,,
